reference	book	chapter	count	min_confidence	surfaces	pages	confirmed
Joh 6	Johannes	6	94	0.857	Johannis am 6. Cap. (13) | Johannis am 6. Capitel (12) | Johannis am 6. Capitel. (9) | Johannis am 6. (8) | Johannes am vi cap (6) | Johannis 6. (6)	a_v_1447_schlussredaktion:25,151,169,221,336,354,360,362,380,383,388,389; druck_1608_bern:245,258,260,261,262,275,279,280,281,283,307,314; druck_1608_zuerich:247,260,262,263,264,277,281,282,283,285,309,316	
Mt 16	Matthäus	16	77	0.857	Matth. 16. (10) | Matth. am 16. Cap. (8) | Matthei am 16.cap. (5) | Matth. am 16. (5) | Matth. 16. cap. (4) | Matth. am 16. cap. (4)	a_v_1443_hertwig:10,55,56; a_v_1445_schoeni:16,40,59; a_v_1446_ruemlang:13,31,40,51; a_v_1447_schlussredaktion:78,203; druck_1608_bern:38,56,62,63,73,74,145,148,149,155,228,244; druck_1608_zuerich:40,58,64,65,75,76,147,150,151,157,230,246; druck_1701:26,32,40,43,48,50	
Joh 20	Johannes	20	71	0.857	Johannis am 20. Capitel (5) | Johannis am 20. Capitel. (5) | Johannis am 20. Cap. (4) | Johannis xx (3) | Johannis am xx. (3) | Johannis 20 (2)	a_v_1443_hertwig:55,56,57; a_v_1447_schlussredaktion:65,80,212,214,219,220,410,420; druck_1528:55,119,122,123,124,127,254,256,258,264; druck_1528_04:58,70,146,149,150,305,306,307; druck_1608_bern:74,153,293,295,297,304,305; druck_1608_zuerich:76,155,295,297,299,306,307; druck_1701:48,59	
Eph 5	Epheser	5	53	0.857	Eph. 5. (4) | zun Epheſ. 5. cap. (3) | Epheſ. am 5. (3) | Epheſern am v. (2) | zun Epheſern am v. (2) | Epheſ. 5. (2)	a_v_1444_cyro:12; a_v_1446_ruemlang:14,38; a_v_1447_schlussredaktion:32,195,232; druck_1528:22,132,133,142,143,172,251; druck_1528_04:33,41,47,160,161,170,172,204,291; druck_1608_bern:38,39,46,159,160,169,171,203,289; druck_1608_zuerich:40,41,48,161,162,171,173,205,291; druck_1701:26,33,47,119,137,138,147,148,178,257,592	
1 Tim 3	1 Timotheus	3	47	0.909	"Timoth. 3. (9) | Timoth. am 3. (6) | zun Timoth.
am 3. (3) | zun Timotheon am
3. cap. (2) | zum Timotheo am 3. cap. (2) | zum Timotheo 3. cap. (2)"	druck_1608_bern:98,164,165,173,192,203,212,215,216,450,538,540; druck_1608_zuerich:100,166,167,175,194,205,214,217,218,452,540,542; druck_1701:80,142,144,152,179,187,189,190,403,479,482,486	
Mt 18	Matthäus	18	44	0.889	Matth. am 18. (5) | Matth. am 18. Cap. (5) | Matth. am 18. cap. (4) | Matth.am 18.cap. (3) | Matth. 18. cap. (2) | Matthei 18. cap. (2)	a_v_1447_schlussredaktion:88,220; druck_1608_bern:77,80,82,88,105,107,122,146,149,153,220,221; druck_1608_zuerich:79,82,84,90,107,109,124,148,151,155,222,223; druck_1701:62,65,66,71,86,88,103,125,129,132,195,551	
Mt 5	Matthäus	5	44	0.889	Mathei. v. (6) | Matthei am 5. (5) | Matth. 5. (3) | Matth. v. (2) | Matthei. v. (2) | Matthei am v. capitel. (2)	a_v_1447_schlussredaktion:329,686,687,688,726; druck_1528:198,203,447,468; druck_1528_04:238,513,514,537,545; druck_1608_bern:236,515,540,548; druck_1608_zuerich:238,517,542,550,644,689,746,748; druck_1701:209,210,460,461,462,482,488,528,584,586	
Röm 8	Römer	8	42	0.909	"Rom. 8. (8) | zun Roͤmern am 8. cap. (4) | zun Roͤmern 8.
cap. (2) | zun Roͤmern am 8. (2) | zun Römern am 8. Capitel. (2) | zun Roͤmern am 8. Cap. (2)"	druck_1608_bern:39,113,115,124,234,238,341,368,391,498; druck_1608_zuerich:41,115,117,126,236,240,343,370,393,500,506,706; druck_1701:27,80,83,94,96,105,208,211,305,330,351,447	
Eph 4	Epheser	4	34	0.857	"Eph. 4. (6) | zun
Epheſ. am 4.cap. (2) | zun Epheſeren am 4. capit. (2) | zun
Epheſ.am 4. (2) | zun Epheſ. am 4. cap. (2) | zun Ephſern am 4. Capit. (2)"	a_v_1443_hertwig:32; a_v_1444_cyro:12; a_v_1446_ruemlang:14; a_v_1447_schlussredaktion:189; druck_1608_bern:38,44,133,134,154,158,502,558; druck_1608_zuerich:40,46,135,136,156,160,504,560,746; druck_1701:26,32,114,133,136,448,498,584,592	
1 Kor 10	1 Korinther	10	32	0.9	"zun Corinth. am 10. Cap. (6) | Corinth. 10. (3) | Corinth. x. (2) | zun Corinth. am x. (2) | zun Corinth.am 10.cap. (2) | zun Corinth.
am 10. (2)"	a_v_1447_schlussredaktion:329; druck_1528:254,255,261,263,460,472; druck_1528_04:238,257,295,300,302,527,542; druck_1608_bern:186,236,293,295,303,320,530; druck_1608_zuerich:188,238,295,297,305,322,532; druck_1701:163,209,263,486	
Jes 55	Jesaja	55	31	0.909	"Eſaie am 55. Cap. (6) | Eſaie am lv. (3) | Eſa. 55. (3) | Eſaie am 55. (2) | Eſaie am 55. capit. (2) | Eſaie am 55.
Capitel. (2)"	a_v_1444_cyro:12; a_v_1447_schlussredaktion:462; druck_1528:160,226,290,291,292; druck_1528_04:34,190,263,335,336,337; druck_1608_bern:39,189,262,333,334,336; druck_1608_zuerich:41,191,264,335,336,338; druck_1701:26,166,233,298,299,300	
Mt 24	Matthäus	24	31	1.0	"Matth. am 24. (9) | Matth.am 24. (3) | Matth.am
24. (2) | Matthei am 24.
Cap. (2) | Matthei am 24. Capitel. (2) | Matthei
am 24. (2)"	a_v_1447_schlussredaktion:659; druck_1608_bern:191,196,226,256,371,396,443,444,448,494; druck_1608_zuerich:193,198,228,258,373,398,445,446,450,496; druck_1701:167,173,200,227,332,356,397,401,441	
Apg 15	Apostelgeschichte	15	29	0.857	Actorum am 15. (3) | Act. 15. (3) | Actuum am xv. (2) | Actorum xv. (2) | Actorum am xv. (2) | Act. 15. cap. (2)	a_v_1446_ruemlang:56; a_v_1447_schlussredaktion:69,292,298,318; druck_1528:173,178,384; druck_1528_04:63,205,210,230; druck_1608_bern:67,203,228,441; druck_1608_zuerich:69,205,230,443,756,817; druck_1701:53,179,184,202,396,594,657	
