key	label	mentions	forms	hls_id	hls_title	hls_years	confirmed	pages
berchtold	Berchtold	115	Berchtold | Berchtoldus | Berchtolden | Werchtoldus haller | Berchtoldus Haller | Berchtold Haller | Bexchtoldus | Berchtoed | Berchteld | Werchtolden | Verchtoldus haller | Bertholdus Haller | Bertal	010457	Berchtold Haller	1490–1536	ja	a_v_1445_schoeni:13; a_v_1446_ruemlang:10,12,25,34,503; a_v_1447_schlussredaktion:18,20,33,34,41,67,79,81,88,89,90,91…; druck_1528:7,487,489
vlrich zwingli	Vlrich Zwingli	105	Vlrich Zwingli | Vlrich | Meister Vlrich zwingli | Zwingli | Vlrich zwingh | Meister Vlrich | Vlrich zwingkly | Ulrich Zwingli | Zwinglij | vlrichs | zwingh | Meister Vlrich Zwingh | Huldrichen Zwingl	010447	Huldrych Zwingli	1484–1531	ja	a_v_1447_schlussredaktion:93,130,131,153,173,185,197,199,200,240,247,256…; druck_1528:487,490
johannes buchstab	Johannes buchstab	98	Johannes buchstab | Johannus | Johannes bijchstab | Johannes Oecolampadius | Johannes mannberger | colampadius | Sijmon Johannes | Ocolampadius | Johanne | Johannes lottstetter | Doctor Johannes Oecol	043587	Johannes Buchstab	1499–1528	ja	a_v_1447_schlussredaktion:12,31,34,46,58,65,123,153,186,217,219,250…
martinus buiier	Martinus buijer	52	Martinus buijer | Marti buijer | martin | Marti bucen | Marti bucer | Martin buijer | Martinus buier | Martin luter | Luther | Martinus buer | agari bucen | Marti bucher | Martinus buizer | Martimus b	021494	Martin Bucer	1491–1551	ja	a_v_1446_ruemlang:48; a_v_1447_schlussredaktion:44,45,49,53,128,136,139,140,142,152,174,177…
gidius murer	gidius Murer	20	gidius Murer | Egidius murer | Tgidius murer | Jorg Murer | Billij Murer | gidius muerer					a_v_1447_schlussredaktion:259,262,575,578,579,582,583,593,597,598,600,601…
jacob	Jacob	19	Jacob | Jacobi | Jacob Edlwach | Jacob Edlbach | Jacobs | Jacob Vo | Jacobs Christus Jesus | Jacob Manias | Manias					a_v_1446_ruemlang:502; a_v_1447_schlussredaktion:118,123,218,220,221,223,224,239,265,267,268,362…
martinus buzer	Martinus buzer	19	Martinus buzer | Martinus Buczer | Bucer | Martinus bucer | Martinus Butzer	021494	Martin Bucer	1491–1551	ja	a_v_1447_schlussredaktion:70,120,136,267,280,282,289,292,296,307,311,332…
ecolampadius	Ecolampadius	16	Ecolampadius | Jobannis Ecolampadij | Doctor Ecolampadii | Doctors Ecolampadij | Ccolampadij | Necolampadij	010779	Johannes Oekolampad	1482–1531	ja	a_v_1447_schlussredaktion:236,395,415,416,417,429,450,451,479,485,527,647; druck_1528:487
johanus	Johanus	16	Johanus | Johans | Johan | Doctor Johanss					a_v_1447_schlussredaktion:27,30,53,123,221,222,237,357,359,361,384,392…
peter	Peter	16	Peter | sant peter | sant petter | Pieter | sant pieters | Peters | Piters | Pettern					a_v_1447_schlussredaktion:42,45,48,49,50,52,69,70,71,162,270,283…; druck_1528:10
theobaldus hutter	Theobaldus Hutter	16	Theobaldus Hutter | Theobaldus | Eheobaldus hüter | Theobalds Hitters | Thiebble hutter | Theobaldus huter | Eheobaldus guter | Eheobaldus | Theobaldus hüter					a_v_1447_schlussredaktion:77,295,296,340,345,541,551,610,655,692,710,712…; druck_1528:490
melchisedech	Melchisedech	15	Melchisedech | Melchisedoch | Melchisedeth | Molchisedoch | Melchisedeck					a_v_1447_schlussredaktion:572,573,578,579,580,581,587,592,610
niclus	Niclus	12	Niclus | Niclaus brieffer | Niclaus | Niclaus brieffers | Niclaus Christen Senger | Mclus Senger | Niclus von Zoffingen | Niclius Manuel					a_v_1447_schlussredaktion:4,178,201,213,215,234,241,242,243,265,299; druck_1528:10
martinus burger	Martinus burger	11	Martinus burger | Burger | Martinus Buger | Hern Motin buge	021494	Martin Bucer	1491–1551	ja	a_v_1447_schlussredaktion:308,330,338,586,591,592,595,596,597; druck_1528:9
hans	Hans	10	Hans | Hans wachter | Hans Pavar | Hans wachter von Ghenckenberg | Jans wachter					a_v_1446_ruemlang:26,27,38,106; a_v_1447_schlussredaktion:613,627,629,631,642
gidius muur	gidius muur	10	gidius muur | gidius muver | Egidius muur | Tgidius muur | gidius muure | Egidius muver					a_v_1447_schlussredaktion:581,583,591,595,596,597,599,632,640
benedicht	Benedicht	9	Benedicht | Benedicht Jurid | Benndicht					a_v_1447_schlussredaktion:415,416,417,419,426,451,480,481
egidius muwer	Egidius muwer	9	Egidius muwer | gidius muwer | Tgidius muwer					a_v_1447_schlussredaktion:577,592,599,603,634,638,640,641,642
alexius grad	Alexius grad	8	Alexius grad | Mexius gradi					a_v_1447_schlussredaktion:300,303,304,305,306,307,308,311
danielis	Danielis	8	Danielis | Canielis					a_v_1447_schlussredaktion:279,334,601,602,605,606,646,648
josephs	Josephs	8	Josephs | Joseph | Josephus forrer | Josephum					a_v_1447_schlussredaktion:345,367,378,485,516,668,696,699
moysen	Moysen	7	Moysen | Moyse | Mose					a_v_1447_schlussredaktion:227,263,315,450,455,464,517
joh	Joh	6	Joh | Joh.					a_v_1444_cyro:13,14; a_v_1447_schlussredaktion:22,139,386
luter	luter	6	luter | Lutter					a_v_1445_schoeni:12; a_v_1446_ruemlang:102; a_v_1447_schlussredaktion:130,131,150,151
barnabas	Barnabas	6	Barnabas | Barnabam | Barnabis					a_v_1447_schlussredaktion:266,268,380,597
louingli	Lovingli	6	Lovingli | Zovingli | Zovingei					a_v_1447_schlussredaktion:241,390,433,442,477,500
francistus kolb	Francistus Kolb	6	Francistus Kolb | Franciscus Kolb | Franciscus | Franciscus kolle | frans kolb	010708	Franz Kolb	1465–1535	ja	a_v_1447_schlussredaktion:155,172,626,706,737; druck_1528:7
doctor fabricius capito	Doctor Fabricius Capito	6	Doctor Fabricius Capito | Dortog fabricius Capito | Docter Capito | Doctor Capito | Doctor Wolffen Capito | Wolff Capito	010561	Wolfgang Capito	1478–1541	ja	a_v_1447_schlussredaktion:104,106,112,115,128,177
marie	Marie	5	Marie					a_v_1447_schlussredaktion:287,421,544,630,655
cornelis	Cornelis	5	Cornelis | Cornelius					a_v_1444_cyro:11; a_v_1445_schoeni:15; a_v_1447_schlussredaktion:148,333
chimotheum	Chimotheum	5	Chimotheum | Chimotheus					a_v_1447_schlussredaktion:291,302,304,717,726
thimotheo	Thimotheo	5	Thimotheo | Thimothei | Thimotheij					a_v_1447_schlussredaktion:123,164,301,715,717
quuradus treiger	Quuradus treiger	5	Quuradus treiger | Doctor Cunrae treiger | Doctor Cumrad treiger | Doctor Cum rad treiger | Doctor Cunrad treiger	018682	Conrad Treger	1480–1543	ja	a_v_1447_schlussredaktion:102,103,106,113,128
junii	Junij	4	Junij					a_v_1447_schlussredaktion:277,434,553,554
saul	Saul	4	Saul					a_v_1447_schlussredaktion:47,48,68,461
joachim uon watt	Joachim von Watt	4	Joachim von Watt | Joachim von watts					a_v_1447_schlussredaktion:4,16,748; druck_1528:488
cristus	Cristus	4	Cristus | Jhesus Cristus					a_v_1443_hertwig:11,13,14; a_v_1445_schoeni:12
judas	Judas	4	Judas | Judas Machtbeus					a_v_1447_schlussredaktion:69,222,628,629
hern	Hern	4	Hern | Herrn					a_v_1447_schlussredaktion:42,105,419,467
waltherus clarer	Waltherus Clarer	4	Waltherus Clarer | Valltherus Clarer					a_v_1447_schlussredaktion:550,554,555
melchior thilman	Melchior thilman	4	Melchior thilman | Welchior Thilmans | Melchior Thilmans					a_v_1447_schlussredaktion:5,10; druck_1528:11,15
frantz	Frantz	4	Frantz | Frantz Kelb | Meister franz kols					a_v_1445_schoeni:11; a_v_1447_schlussredaktion:243,276
sant paulus	Sant Paulus	4	Sant Paulus | pauclus | sanctus paulus					a_v_1447_schlussredaktion:267,269,306,675
salomon	Salomon	4	Salomon | Salomonis | Salomons					a_v_1447_schlussredaktion:654,655,656
fridli brunners	Fridli Brunners	4	Fridli Brunners | fridly Brunner | fridlis Brunner | Friedly Brunner					a_v_1447_schlussredaktion:5,9; druck_1528:11,14
augustinus	Augustinus	4	Augustinus | Augustin | Augustini | Augustinne					a_v_1447_schlussredaktion:216,334,346,389
beundichtt	Beundichtt	4	Beundichtt | Beudicht | Beurdicht | Bemdicht					a_v_1447_schlussredaktion:408,409,415,450
cephas	Cephas	3	Cephas					a_v_1446_ruemlang:31; a_v_1447_schlussredaktion:31,40
marti	Marti	3	Marti					a_v_1447_schlussredaktion:52,74,139
jacobus	Jacobus	3	Jacobus					a_v_1447_schlussredaktion:270,546,715
thobia	Thobia	3	Thobia					a_v_1447_schlussredaktion:333,651
nathei	Nathei	3	Nathei					a_v_1447_schlussredaktion:344,677,706
samuel	Samuel	3	Samuel					a_v_1447_schlussredaktion:47,641
cristi	Cristi	3	Cristi | Ihesen Christi					a_v_1443_hertwig:11,12; a_v_1447_schlussredaktion:195
cristo	Cristo	3	Cristo | Jhesu christo					a_v_1443_hertwig:12; a_v_1446_ruemlang:12,13
moiisen	Moijsen	3	Moijsen | Moisen					a_v_1446_ruemlang:30; a_v_1447_schlussredaktion:263,478
theobaldus gutter	Theobaldus gutter	3	Theobaldus gutter | Eheobcldus gutter					a_v_1447_schlussredaktion:296,342,345
andreas	Andreas	3	Andreas | Andrea					a_v_1447_schlussredaktion:31,211,699
voochtoldus	Voochtoldus	3	Voochtoldus | Boochtoldus					a_v_1447_schlussredaktion:262,326,700
pauen	Pauen	3	Pauen | pauens					a_v_1447_schlussredaktion:233,393,417
zacharie	Zacharie	3	Zacharie | Zachavie					a_v_1447_schlussredaktion:650,670,673
cristum	Cristum	3	Cristum | fesum Christum | Chrystum					a_v_1443_hertwig:14; a_v_1447_schlussredaktion:340,519
wolfgang birtinger	wolfgang birtinger	3	wolfgang birtinger | Birtzinger | Birbtiger					a_v_1446_ruemlang:22,33,42
pelagius am stein	Pelagius am Stein	3	Pelagius am Stein | Delagius | Pelagius					a_v_1447_schlussredaktion:340,345,555
u s g	U.S.g.	3	U.S.g. | U. f. g. | U. 8. g.					a_v_1447_schlussredaktion:466,468,469
springh pauli	Springh pauli	3	Springh pauli | Sancti Pauli | Paucti Pauli					a_v_1447_schlussredaktion:50,585,605
