segment	thesis	first_page	last_page	pages	title	summary
1		1	6	6		
2		7	11	5		
3		12	19	8		
4	1	20	29	10		
5	1	30	36	7		
6	1	37	40	4		
7	1	41	47	7		
8	1	48	57	10		
9	1	58	62	5		
10	1	63	69	7		
11	1	70	76	7		
12	1	77	84	8		
13	1	85	88	4		
14	1	89	94	6		
15	1	95	103	9		
16	1	104	107	4		
17	1	108	114	7		
18	1	115	118	4		
19	1	119	126	8		
20	1	127	127	1		
21	1	128	137	10		
22	1	138	147	10		
23	1	148	155	8		
24	1	156	159	4		
25	2	160	163	4		
26	2	164	170	7		
27	2	171	177	7		
28	2	178	184	7		
29	2	185	189	5		
30	2	190	199	10		
31	3	200	208	9		
32	3	209	213	5		
33	3	214	221	8		
34	4	222	223	2		
35	4	224	232	9		
36	4	233	242	10		
37	4	243	245	3		
38	4	246	253	8		
39	4	254	254	1		
40	4	255	256	2		
41	4	257	265	9		
42	4	266	268	3		
43	4	269	277	9		
44	4	278	284	7		
45	4	285	289	5		
46	4	290	294	5		
47	4	295	304	10		
48	4	305	305	1		
49	4	306	315	10		
50	4	316	317	2		
51	4	318	318	1		
52	4	319	326	8		
53	4	327	329	3		
54	4	330	330	1		
55	4	331	331	1		
56	4	332	332	1		
57	4	333	342	10		
58	4	343	343	1		
59	4	344	351	8		
60	4	352	355	4		
61	5	356	364	9		
62	5	365	373	9		
63	5	374	374	1		
64	5	375	382	8		
65	5	383	388	6		
66	5	389	394	6		
67	5	395	401	7		
68	6	402	402	1		
69	6	403	411	9		
70	6	412	418	7		
71	6	419	425	7		
72	6	426	431	6		
73	7	432	440	9		
74	7	441	443	3		
75	7	444	445	2		
76	7	446	455	10		
77	7	456	459	4		
78	8	460	463	4		
79	8	464	464	1		
80	8	465	474	10		
81	8	475	481	7		
82	8	482	490	9		
83	8	491	496	5		
